user_id,snapshot_ts,reorder_probability_30d,churn_probability_30d,recommended_threshold,predicted_reorder_next_30d,predicted_churn_risk_30d,predicted_positive,risk_bucket,threshold_distance,threshold_band,score_decile
166,2026-03-11T04:56:56+00:00,0.014268101403746016,0.985731898596254,0.312470840610089,0,1,0,high,-0.298202739206343,below_threshold,1
46,2026-03-11T04:56:56+00:00,0.014497119598370373,0.9855028804016296,0.312470840610089,0,1,0,high,-0.29797372101171865,below_threshold,1
53,2026-03-11T04:56:56+00:00,0.014630720241558613,0.9853692797584414,0.312470840610089,0,1,0,high,-0.2978401203685304,below_threshold,1
70,2026-03-11T04:56:56+00:00,0.014830249043660752,0.9851697509563393,0.312470840610089,0,1,0,high,-0.29764059156642825,below_threshold,1
35,2026-03-11T04:56:56+00:00,0.016053609790028584,0.9839463902099714,0.312470840610089,0,1,0,high,-0.29641723082006044,below_threshold,1
187,2026-03-11T04:56:56+00:00,0.016319189231623933,0.9836808107683761,0.312470840610089,0,1,0,high,-0.29615165137846505,below_threshold,1
80,2026-03-11T04:56:56+00:00,0.016420796583915223,0.9835792034160847,0.312470840610089,0,1,0,high,-0.2960500440261738,below_threshold,1
145,2026-03-11T04:56:56+00:00,0.016455365285957924,0.9835446347140421,0.312470840610089,0,1,0,high,-0.2960154753241311,below_threshold,1
42,2026-03-11T04:56:56+00:00,0.016546328444797576,0.9834536715552025,0.312470840610089,0,1,0,high,-0.2959245121652914,below_threshold,1
136,2026-03-11T04:56:56+00:00,0.01675856611621927,0.9832414338837807,0.312470840610089,0,1,0,high,-0.2957122744938697,below_threshold,1
54,2026-03-11T04:56:56+00:00,0.01699667228673233,0.9830033277132677,0.312470840610089,0,1,0,high,-0.29547416832335666,below_threshold,1
103,2026-03-11T04:56:56+00:00,0.017524198342832045,0.982475801657168,0.312470840610089,0,1,0,high,-0.294946642267257,below_threshold,1
6,2026-03-11T04:56:56+00:00,0.01773220529354192,0.9822677947064581,0.312470840610089,0,1,0,high,-0.2947386353165471,below_threshold,1
78,2026-03-11T04:56:56+00:00,0.017750848735575826,0.9822491512644241,0.312470840610089,0,1,0,high,-0.2947199918745132,below_threshold,1
112,2026-03-11T04:56:56+00:00,0.018596808504810037,0.98140319149519,0.312470840610089,0,1,0,high,-0.29387403210527896,below_threshold,1
143,2026-03-11T04:56:56+00:00,0.018610803629019793,0.9813891963709802,0.312470840610089,0,1,0,high,-0.2938600369810692,below_threshold,1
173,2026-03-11T04:56:56+00:00,0.01872003150095953,0.9812799684990404,0.312470840610089,0,1,0,high,-0.2937508091091295,below_threshold,1
123,2026-03-11T04:56:56+00:00,0.019641284490158666,0.9803587155098413,0.312470840610089,0,1,0,high,-0.29282955611993033,below_threshold,1
31,2026-03-11T04:56:56+00:00,0.019940843831039407,0.9800591561689606,0.312470840610089,0,1,0,high,-0.2925299967790496,below_threshold,1
193,2026-03-11T04:56:56+00:00,0.020327454235016727,0.9796725457649833,0.312470840610089,0,1,0,high,-0.29214338637507226,below_threshold,1
149,2026-03-11T04:56:56+00:00,0.020595427960453976,0.979404572039546,0.312470840610089,0,1,0,high,-0.291875412649635,below_threshold,2
67,2026-03-11T04:56:56+00:00,0.02064589154592254,0.9793541084540774,0.312470840610089,0,1,0,high,-0.29182494906416645,below_threshold,2
73,2026-03-11T04:56:56+00:00,0.020928787679421405,0.9790712123205786,0.312470840610089,0,1,0,high,-0.2915420529306676,below_threshold,2
20,2026-03-11T04:56:56+00:00,0.021004153001821898,0.9789958469981781,0.312470840610089,0,1,0,high,-0.2914666876082671,below_threshold,2
43,2026-03-11T04:56:56+00:00,0.021339147055341706,0.9786608529446583,0.312470840610089,0,1,0,high,-0.29113169355474733,below_threshold,2
111,2026-03-11T04:56:56+00:00,0.021693557024795657,0.9783064429752043,0.312470840610089,0,1,0,high,-0.29077728358529337,below_threshold,2
55,2026-03-11T04:56:56+00:00,0.02172664130358955,0.9782733586964104,0.312470840610089,0,1,0,high,-0.2907441993064995,below_threshold,2
101,2026-03-11T04:56:56+00:00,0.021742271295015155,0.9782577287049848,0.312470840610089,0,1,0,high,-0.29072856931507385,below_threshold,2
178,2026-03-11T04:56:56+00:00,0.021898207375458563,0.9781017926245414,0.312470840610089,0,1,0,high,-0.29057263323463045,below_threshold,2
116,2026-03-11T04:56:56+00:00,0.02200312171974026,0.9779968782802597,0.312470840610089,0,1,0,high,-0.2904677188903487,below_threshold,2
